Date,Average Dew Point (F),Average Temperature (F),Average Relative Humidity (%),Average Daily Wind Speed (mph),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2014-01-01,44,50,78,5.8,62,38,0.0
2014-01-02,25,43,57,13.4,54,32,0.00
2014-01-03,25,41,56,7.4,54,28,0.00
2014-01-04,47,54,75,13.6,70,39,0.00
2014-01-05,31,47,60,17.4,63,31,0.0
2014-01-06,12,28,50,11.2,34,21,0.00
2014-01-07,16,32,51,6.7,45,19,0.00
2014-01-08,44,47,89,11.4,53,40,0.10
2014-01-09,57,58,98,5.1,63,53,0.77
2014-01-10,61,62,95,10.3,67,58,0.14
2014-01-11,43,58,65,5.8,70,45,0.00
2014-01-12,43,56,62,9.6,70,42,0.01
2014-01-13,39,54,55,10.1,67,41,0.00
2014-01-14,31,52,46,6.0,69,34,0.00
2014-01-15,25,47,45,7.6,58,36,0.00
2014-01-16,33,51,51,7.6,67,35,0.00
2014-01-17,21,48,33,6.9,60,36,0.00
2014-01-18,35,51,56,5.6,67,35,0.00
2014-01-19,31,52,49,3.4,67,37,0.00
2014-01-20,47,60,66,10.3,76,44,0.00
2014-01-21,24,48,38,12.3,59,37,0.00
2014-01-22,30,48,49,5.4,65,31,0.00
2014-01-23,35,41,82,13.9,52,29,0.17
2014-01-24,22,31,74,7.6,35,26,0.05
2014-01-25,31,44,67,3.8,61,26,0.00
2014-01-26,40,59,58,9.4,71,46,0.00
2014-01-27,28,44,53,15.2,53,35,0.0
2014-01-28,19,34,58,12.1,40,27,0.05
2014-01-29,16,34,50,4.9,43,25,0.00
2014-01-30,36,44,69,13.0,60,28,0.00
2014-01-31,56,64,80,15.0,74,54,0.00
2014-02-01,63,65,85,11.2,71,58,0.0
2014-02-02,38,46,91,16.1,58,34,0.20
2014-02-03,36,39,85,8.5,44,34,0.00
2014-02-04,43,47,91,4.7,54,41,0.28
2014-02-05,29,37,71,14.3,43,31,0.00
2014-02-06,21,29,68,12.1,31,26,0.01
